Date	Direction	Distance	Frames	fps	Speed est.		
9/18/23, 1:41:08 PM	N	6	3	4	28.8		
9/18/23, 1:49:30 PM	S	18	8	4	32.4		
9/18/23, 1:53:54 PM	N	18	14	4	18.5142857142857		
9/18/23, 1:56:50 PM	N	6	5	4	17.28		
9/18/23, 2:02:34 PM	S	18	11	4	23.5636363636364		
9/18/23, 2:08:32 PM	N	6	3	4	28.8		
9/18/23, 2:18:05 PM 	N	18	10	4	25.92		
9/18/23, 2:31:05 PM	S	18	10	4	25.92		
9/18/23, 2:32:07 PM	N	18	12	4	21.6		
9/15/23, 5:59:40 AM	S	18	9	4	28.8		
9/15/23, 6:07:54 AM	S	18	9	4	28.8		
9/15/23, 6:08:16 AM	S	18	8	4	32.4		
9/15/23, 6:19:25 AM	S	18	9	4	28.8		
9/15/23, 6:47:00 AM	S	18	9	4	28.8
9/15/23, 7:25:01 AM	S	18	10	4	25.92		
9/15/23, 7:33:52 AM	N	18	8	4	32.4		
9/15/23, 7:40:26 AM	N	6	4	4	21.6		
9/15/23, 7:42:38 AM	S	18	8	4	32.4		
9/15/23, 7:49:53 AM	N	19	9	4	30.4		
9/15/23, 7:56:05 AM	N	18	10	4	25.92		
9/15/23, 7:56:25 AM	N	18	9	4	28.8		
9/15/23, 7:59:48 AM	N	18	12	4	21.6		
9/15/23, 8:01:12 AM	S	18	10	4	25.92		
9/15/23, 8:02:26 AM	N	18	11	4	23.5636363636364		
9/15/23, 8:03:54 AM	N	6	4	4	21.6		
9/15/23, 8:04:16 AM	S	18	16	4	16.2		
9/15/23, 8:05:06 AM	N	18	8	4	32.4		
9/15/23, 8:05:50 AM	N	8	3	4	38.4		
9/15/23, 8:08:12 AM	N	7	3	4	33.6		
9/15/23, 8:09:16 AM	N	18	9	4	28.8		
9/15/23, 8:10:20 AM	N	18	12	4	21.6		
9/15/23, 8:11:33 AM	N	18	7	4	37.0285714285714		
9/15/23, 8:11:55 AM	N	6	5	4	17.28		
9/15/23, 8:16:41 AM	S	18	8	4	32.4		
9/15/23, 8:17:07 AM	N	18	7	4	37.0285714285714		
9/15/23, 8:17:31 AM	S	18	7	4	37.0285714285714		
9/15/23, 8:24:27 AM	N	18	11	4	23.5636363636364		
9/15/23, 8:25:40 AM	N	18	10	4	25.92		
