Date	Direction	Distance	Frames	fps	Speed est.		
1/9/24, 1:42:09 PM GMT+3	S	18	15	4	17.28		
1/9/24, 1:43:43 PM GMT+3	S	17	12	4	20.4		
1/9/24, 1:45:19 PM GMT+3	S	18	9	4	28.8		
1/9/24, 1:46:41 PM GMT+3	N	6	4	4	21.6		
1/9/24, 1:46:41 PM GMT+3	N	19	14	4	19.5428571428571
1/9/24, 1:56:29 PM GMT+3	N	18	10	4	25.92		
1/9/24, 2:01:11 PM GMT+3	N	18	10	4	25.92		
1/9/24, 2:02:53 PM GMT+3	S	18	11	4	23.5636363636364		
1/9/24, 2:06:35 PM GMT+3	N	18	10	4	25.92		
1/9/24, 2:08:51 PM GMT+3	S	18	9	4	28.8		
1/9/24, 2:11:45 PM GMT+3	N	18	10	4	25.92		
1/9/24, 2:13:53 PM GMT+3	N	17	16	4	15.3		
1/9/24, 2:18:11 PM GMT+3	N	19	11	4	24.8727272727273		
1/9/24, 2:18:49 PM GMT+3	S	18	7	4	37.0285714285714		
1/9/24, 2:20:43 PM GMT+3	S	16	7	4	32.9142857142857
1/9/24, 2:34:33 PM GMT+3	S	17	10	4	24.48		
1/9/24, 2:35:11 PM GMT+3	N	19	8	4	34.2		
1/9/24, 2:39:31 PM GMT+3	N	19	12	4	22.8		
1/9/24, 2:43:19 PM GMT+3	S	17	7	4	34.9714285714286		
1/9/24, 2:47:55 PM GMT+3	S	18	7	4	37.0285714285714		
1/9/24, 2:55:59 PM GMT+3	S	18	7	4	37.0285714285714		
1/9/24, 2:58:05 PM GMT+3	N	18	9	4	28.8		
1/9/24, 2:58:31 PM GMT+3	S	19	8	4	34.2		
1/9/24, 3:06:35 PM GMT+3	N	17.5	9	4	28		
1/9/24, 3:19:29 PM GMT+3	S	18	10	4	25.92		
